Date,Adj Close,
27-01-2012,17233.98,16345.83
30-01-2012,16863.30,16330.88
31-01-2012,17193.55,16322.76
01-02-2012,17300.58,16319.90
02-02-2012,17431.85,16319.38
03-02-2012,17604.96,16321.33
06-02-2012,17707.31,16323.63
07-02-2012,17622.45,16324.47
08-02-2012,17707.32,16329.95
09-02-2012,17830.75,16340.08
10-02-2012,17748.69,16350.07
13-02-2012,17772.84,16364.20
14-02-2012,17848.57,16381.23
15-02-2012,18202.41,16408.86
16-02-2012,18153.99,16437.15
17-02-2012,18289.35,16474.35
21-02-2012,18428.61,16511.86
22-02-2012,18145.25,16550.67
23-02-2012,18078.50,16585.91
24-02-2012,17923.57,16621.28
27-02-2012,17445.75,16641.58
28-02-2012,17731.12,16668.92
29-02-2012,17752.68,16694.78
01-03-2012,17583.97,16712.25
02-03-2012,17636.80,16724.79
03-03-2012,17636.80,16737.99
05-03-2012,17362.87,16745.70
06-03-2012,17173.29,16756.57
07-03-2012,17145.52,16771.37
09-03-2012,17503.24,16797.29
12-03-2012,17587.67,16822.45
13-03-2012,17813.62,16853.12
14-03-2012,17919.30,16886.18
15-03-2012,17675.85,16920.86
16-03-2012,17466.20,16953.98
19-03-2012,17273.37,16987.29
20-03-2012,17316.18,17013.18
21-03-2012,17601.71,17041.56
22-03-2012,17196.47,17064.70
23-03-2012,17361.74,17086.78
26-03-2012,17052.78,17105.49
27-03-2012,17257.36,17129.77
28-03-2012,17121.62,17154.81
29-03-2012,17058.61,17180.27
30-03-2012,17404.20,17210.21
02-04-2012,17478.15,17234.63
03-04-2012,17597.42,17261.85
04-04-2012,17486.02,17287.71
09-04-2012,17222.14,17309.21
10-04-2012,17243.84,17331.05
11-04-2012,17199.40,17353.03
12-04-2012,17332.62,17371.56
13-04-2012,17094.51,17386.14
16-04-2012,17150.95,17403.82
17-04-2012,17357.94,17422.92
18-04-2012,17392.39,17442.01
19-04-2012,17503.71,17458.48
20-04-2012,17373.84,17473.13
23-04-2012,17096.68,17480.32
24-04-2012,17207.29,17487.75
25-04-2012,17151.29,17494.09
26-04-2012,17130.67,17496.23
27-04-2012,17134.25,17497.14
30-04-2012,17318.81,17498.48
02-05-2012,17301.91,17505.45
03-05-2012,17151.19,17504.77
04-05-2012,16831.08,17497.32
07-05-2012,16912.71,17489.08
08-05-2012,16546.18,17472.27
09-05-2012,16479.58,17452.79
10-05-2012,16420.05,17433.70
11-05-2012,16292.98,17411.25
14-05-2012,16215.84,17385.62
15-05-2012,16328.25,17363.07
16-05-2012,16030.09,17335.41
17-05-2012,16070.48,17307.18
18-05-2012,16152.75,17274.65
21-05-2012,16183.26,17243.37
22-05-2012,16026.41,17207.45
23-05-2012,15948.10,17168.08
24-05-2012,16222.30,17137.55
25-05-2012,16217.82,17108.02
28-05-2012,16416.84,17084.10
29-05-2012,16438.58,17068.12
30-05-2012,16312.15,17045.59
31-05-2012,16218.53,17021.24
01-06-2012,15965.16,16995.55
04-06-2012,15988.40,16969.38
05-06-2012,16020.64,16943.73
06-06-2012,16454.30,16929.31
07-06-2012,16649.05,16920.98
08-06-2012,16718.87,16914.21
11-06-2012,16668.01,16900.95
12-06-2012,16862.80,16889.45
13-06-2012,16880.51,16874.64
14-06-2012,16677.88,16854.93
15-06-2012,16949.83,16843.41
18-06-2012,16705.83,16831.34
19-06-2012,16859.80,16824.77
20-06-2012,16896.63,16818.11
21-06-2012,17032.56,16809.08
22-06-2012,16972.51,16805.53
25-06-2012,16882.16,16797.91
26-06-2012,16906.58,16795.59
27-06-2012,16967.76,16791.00
28-06-2012,16990.76,16788.92
29-06-2012,17429.98,16794.81
02-07-2012,17398.98,16794.73
03-07-2012,17425.71,16793.90
04-07-2012,17462.81,16791.76
05-07-2012,17538.67,16792.60
06-07-2012,17521.12,16797.34
09-07-2012,17391.98,16799.69
10-07-2012,17618.35,16806.34
11-07-2012,17489.14,16808.83
12-07-2012,17232.55,16811.02
13-07-2012,17213.70,16812.02
16-07-2012,17103.31,16807.97
17-07-2012,17105.30,16803.42
18-07-2012,17185.01,16798.36
19-07-2012,17278.85,16796.85
20-07-2012,17158.44,16797.83
23-07-2012,16877.35,16792.59
24-07-2012,16918.08,16788.89
25-07-2012,16846.05,16784.37
26-07-2012,16639.82,16776.53
27-07-2012,16839.19,16768.91
30-07-2012,17143.68,16766.40
31-07-2012,17236.18,16767.75
01-08-2012,17257.38,16774.52
02-08-2012,17224.36,16779.46
03-08-2012,17197.93,16789.81
06-08-2012,17412.96,16804.62
07-08-2012,17601.78,16823.38
08-08-2012,17600.56,16844.14
09-08-2012,17560.87,16865.49
10-08-2012,17557.74,16885.00
13-08-2012,17633.45,16910.45
14-08-2012,17728.20,16936.77
16-08-2012,17657.21,16960.65
17-08-2012,17691.08,16984.58
21-08-2012,17885.26,17014.09
22-08-2012,17846.86,17044.22
23-08-2012,17850.22,17070.06
24-08-2012,17783.21,17094.91
27-08-2012,17678.81,17114.94
28-08-2012,17631.71,17133.88
29-08-2012,17490.81,17152.59
30-08-2012,17541.64,17173.59
31-08-2012,17380.75,17196.06
03-09-2012,17384.40,17218.22
04-09-2012,17440.87,17240.76
